Материнская плата ASROCK X370M-HDV R4.0 ,4530, https://www.citilink.ru/product/materinskaya-plata-asrock-x370m-hdv-r4-0-soc-am4-amd-x370-2xddr4-matx-1384519/ , https://cdn.citilink.ru/PpIJPbjzl5AedMknNVFzTywkFKxJZlwRbCWi2ob-rXQ/fit/400/400/ce/false/plain/items/1384519_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD X370|Частотная спецификация памяти | 2667 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDX370
Материнская плата Gigabyte A520M S2H ,4560, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-s2h-soc-am4-amd-a520-2xddr4-matx-ac-1405124/ , https://cdn.citilink.ru/JdIR61TTajeUyYO_ZtoHMiNpmnjbcpuXQ0YhSbXwWcA/fit/400/400/ce/false/plain/items/1405124_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS PRIME A320M-K ,4590, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a320m-k-socketam4-amd-a320-matx-ret-472728/ , https://cdn.citilink.ru/-lMQEgnjqVOpf9zjd75yB1DiGPmAZaTgYbnDcQI05F8/fit/400/400/ce/false/plain/items/472728_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASROCK A520M-HDV ,4710, https://www.citilink.ru/product/materinskaya-plata-asrock-a520m-hdv-socketam4-amd-a520-matx-ret-1415783/ , https://cdn.citilink.ru/71wnb7s_RNRwIHGn46C8lxtd5fQ23BhtHFiRVlf27u8/fit/400/400/ce/false/plain/items/1415783_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата Gigabyte B450M DS3H ,4820, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-ds3h-socketam4-amd-b450-matx-ret-1080844/ , https://cdn.citilink.ru/EMbzKUVKZ-L6_MsGa7sXWKBXqGndKfuNtqUP39QmP9g/fit/400/400/ce/false/plain/items/1080844_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата Gigabyte B365M H ,4830, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b365m-h-lga-1151v2-intel-b365-matx-ret-1165851/ , https://cdn.citilink.ru/geEkuJpTBndFAk7-9ZlAOsTvQVzs4PvRMuY6zLaSEP0/fit/400/400/ce/false/plain/items/1165851_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата ASUS PRIME A520M-K ,4870, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-k-soc-am4-amd-a520-2xddr4-matx-ac-1410389/ , https://cdn.citilink.ru/MEDFlVJ_5SLrxsNqhRG8doa2GJ8DS8dux-f7POv2dTw/fit/400/400/ce/false/plain/items/1410389_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS PRIME B365M-K ,4990, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b365m-k-lga-1151v2-intel-b365-matx-ret-1140441/ , https://cdn.citilink.ru/yq-dnzwdxAvktybsAlNmfKnwRAR2xD6QVH7YcHQ0a4I/fit/400/400/ce/false/plain/items/1140441_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата ASROCK B365M-HDV ,5090, https://www.citilink.ru/product/materinskaya-plata-asrock-b365m-hdv-lga-1151v2-intel-b365-matx-ret-1165861/ , https://cdn.citilink.ru/8jZQGQ649yP7Mwr832gw3OVSrWAqfYPyKOATpYZ_C6Y/fit/400/400/ce/false/plain/items/1165861_v01_m.jpg , Гнездо процессора | LGA 1151v2|Чипсет | Intel B365|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelB365
Материнская плата Gigabyte B450M S2H V2 ,5170, https://www.citilink.ru/product/materinskaya-plata-gigabyte-b450m-s2h-v2-socketam4-amd-b450-matx-ret-1444565/ , https://cdn.citilink.ru/JTWSBvkgUDDovff2sdZSpfh4cPBgNYgGZD08Qz7pgZc/fit/400/400/ce/false/plain/items/1444565_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата MSI A520M-A PRO ,5170, https://www.citilink.ru/product/materinskaya-plata-msi-a520m-a-pro-socketam4-amd-a520-matx-ret-1468032/ , https://cdn.citilink.ru/KTm-lHqwnObTo6z0mnG3S7wYohonuWB1GI-XYdWsiwI/fit/400/400/ce/false/plain/items/1468032_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASUS PRIME B450M-K II ,5190, https://www.citilink.ru/product/materinskaya-plata-asus-prime-b450m-k-ii-socketam4-amd-b450-matx-ret-1423913/ , https://cdn.citilink.ru/-7KorpETJNCUCz3U7doszctTmMs9HUlH2Vl5jTe3hTU/fit/400/400/ce/false/plain/items/1423913_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD B450|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,AMDB450
Материнская плата ASROCK A320M PRO4-F ,5190, https://www.citilink.ru/product/materinskaya-plata-asrock-a320m-pro4-f-socketam4-amd-a320-matx-ret-1477992/ , https://cdn.citilink.ru/P5gYx-NIHhYwA2oDn8dc0Zf5aG5CYQEnRMVIDf70PWc/fit/400/400/ce/false/plain/items/1477992_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A320|Поддержка SLI/CrossFire | CrossFire|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA320
Материнская плата ASROCK H510M-HVS R2.0 ,5290, https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hvs-r2-0-soc-1200-intel-h510-2xddr4-ma-1598716/ , https://cdn.citilink.ru/T1kiMAHGuhl8aWvjhVy4US6x7blDxdCgfNtwGKBQa6c/fit/400/400/ce/false/plain/items/1598716_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte A520M DS3H ,5330, https://www.citilink.ru/product/materinskaya-plata-gigabyte-a520m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1410231/ , https://cdn.citilink.ru/LIDV35yCe6Xass55BxWpCu-X2R2DEl-EOQmBcJcpHwU/fit/400/400/ce/false/plain/items/1410231_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата Gigabyte H410M H V3 ,5390, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-h-v3-soc-1200-intel-h510-2xddr4-matx-1544756/ , https://cdn.citilink.ru/Zva1zx9dBEoYXPS0fzZwcfla_c7FIXsqCAWaO_e04Go/fit/400/400/ce/false/plain/items/1544756_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
Материнская плата Gigabyte H410M S2 ,5460, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2-soc-1200-intel-h410-2xddr4-matx-a-1396917/ , https://cdn.citilink.ru/sRwMZfsagM9Sm3QHaL_p5p2goTPIf17u14doNOHr8TA/fit/400/400/ce/false/plain/items/1396917_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H410|Частотная спецификация памяти | 2666 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH410
Материнская плата ASROCK H470M-HVS ,5490, https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hvs-lga-1200-intel-h470-matx-ret-1473892/ , https://cdn.citilink.ru/pi0TdBb7mLAgOiTDUGE7oQusyTZlJ0QIdYDOEv1vTRY/fit/400/400/ce/false/plain/items/1473892_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата ASUS PRIME A520M-A ,5580, https://www.citilink.ru/product/materinskaya-plata-asus-prime-a520m-a-soc-am4-amd-a520-4xddr4-matx-ac-1405621/ , https://cdn.citilink.ru/uho9KDVh9PVMlk5VdsIcuYMEtGLlLI1_sjYJ3-422dY/fit/400/400/ce/false/plain/items/1405621_v01_m.jpg , Гнездо процессора | SocketAM4|Чипсет | AMD A520|Частотная спецификация памяти | 3200 МГц|Слотов памяти DDR4 | 4|Форм-фактор | mATX|Тип поставки | Ret| ,AMDA520
Материнская плата ASROCK H470M-HDV ,5590, https://www.citilink.ru/product/materinskaya-plata-asrock-h470m-hdv-lga-1200-intel-h470-matx-ret-1473891/ , https://cdn.citilink.ru/6h0LqwVyqDI-OtaiTQlZiHLOQAnP2LA2TLre272nEnQ/fit/400/400/ce/false/plain/items/1473891_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H470|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH470
Материнская плата Gigabyte H410M S2H V3 ,5590, https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-s2h-v3-soc-1200-intel-h510-2xddr4-ma-1544758/ , https://cdn.citilink.ru/DlQZg0eqC3d7GkGVVdpp5VPIRJ73ORs24L8y3SrGDPQ/fit/400/400/ce/false/plain/items/1544758_v01_m.jpg , Гнездо процессора | LGA 1200|Чипсет | Intel H510|Частотная спецификация памяти | 2933 МГц|Слотов памяти DDR4 | 2|Форм-фактор | mATX|Тип поставки | Ret| ,IntelH510
